,Date,Open,High,Low,Close
410,2020-12-23,0.4003,0.42,0.4003,0.42
409,2020-12-22,0.44,0.44,0.4125,0.4125
408,2020-12-21,0.36,0.4125,0.36,0.38
407,2020-12-18,0.42,0.42,0.418,0.42
406,2020-12-17,0.4173,0.4173,0.36,0.385
405,2020-12-16,0.4175,0.42,0.3999,0.42
404,2020-12-15,0.35,0.402,0.35,0.38
403,2020-12-14,0.34,0.3505,0.34,0.34
402,2020-12-11,0.3501,0.4201,0.35,0.3802
401,2020-12-10,0.301,0.4,0.301,0.3587
400,2020-12-09,0.33,0.4,0.33,0.3699
399,2020-12-08,0.2802,0.3399,0.28,0.333
398,2020-12-07,0.31,0.31,0.28,0.3051
397,2020-12-04,0.3435,0.3435,0.3,0.34
396,2020-12-03,0.36,0.36,0.337,0.35
395,2020-12-02,0.358,0.358,0.358,0.358
394,2020-12-01,0.3005,0.36,0.29,0.358
393,2020-11-30,0.3011,0.3011,0.3011,0.3011
392,2020-11-27,0.3011,0.3011,0.3011,0.3011
391,2020-11-25,0.36,0.369,0.28,0.29
390,2020-11-24,0.28,0.36,0.28,0.3
389,2020-11-23,0.35,0.35,0.3,0.32
